stage,target_release_catalog,family_number,editorial_category,family,little_title,creative_title,growing_title,young_title
V2.7,116,15,Vehicles,City Bus,Friendly City Bus From Big Shapes,Design Your City Bus: Shape & Detail,City Bus Construction: Proportion & Parts,Observational City Bus: Perspective & Mechanical Form
V2.7,116,16,People & Characters,Walking Person,Walking Person From Simple Shapes,Walking Character: Pose & Outfit,Walking Figure: Proportion & Leg Overlap,"Walking Figure: Gesture, Weight & Clothing"
V2.7,116,17,Food & Everyday Things,Pizza,Pizza From Big Shapes,Creative Pizza: Shape & Personality,"Pizza: Form, Proportion & Overlap","Observational Pizza: Contour, Light & Texture"
V2.7,116,18,Fantasy & Magic,Unicorn,Friendly Unicorn From Big Shapes,Invent Your Unicorn: Expression & Detail,"Unicorn: Structure, Pose & Overlap","Illustrated Unicorn: Form, Depth & Refined Contour"
V2.7,116,19,Space & Science,Moon Rover,Simple Moon Rover From Big Shapes,Imagine a Moon Rover: Shape & Detail,"Moon Rover: Structure, Scale & Overlap","Moon Rover: Perspective, Form & Technical Detail"
V2.7,116,20,Places & Buildings,Treehouse,Simple Treehouse: Front View,Design a Treehouse: Facade & Detail,Treehouse: Structure & Perspective,"Observational Treehouse: Depth, Perspective & Light"
V2.8,156,21,Drawing Basics,Curves & Spirals,Curves & Spirals Playground,Spiral Creature Remix,Controlled Curves & Flow,"Rhythm, Curvature & Line Control"
V2.8,156,22,Animals,Giraffe,Giraffe From Big Shapes,Expressive Giraffe: Pose & Pattern,Giraffe In Motion: Proportion & Overlap,"Observational Giraffe: Form, Contour & Depth"
V2.8,156,23,Animals,Zebra,Zebra From Big Shapes,Expressive Zebra: Pose & Pattern,Zebra In Motion: Proportion & Overlap,"Observational Zebra: Form, Contour & Depth"
V2.8,156,24,Nature,Cactus,Simple Cactus From Big Shapes,Creative Cactus: Shape & Pattern,Cactus Structure: Overlap & Proportion,"Observational Cactus: Form, Texture & Depth"
V2.8,156,25,Vehicles,Train,Friendly Train From Big Shapes,Design Your Train: Shape & Detail,Train Construction: Proportion & Parts,Observational Train: Perspective & Mechanical Form
V2.8,156,26,People & Characters,Sitting Person,Sitting Person From Simple Shapes,Sitting Character: Pose & Outfit,Seated Figure: Proportion & Overlap,"Seated Figure: Gesture, Weight & Foreshortening"
V2.8,156,27,Food & Everyday Things,Ice Cream,Ice Cream From Big Shapes,Creative Ice Cream: Shape & Personality,"Ice Cream: Form, Proportion & Overlap","Observational Ice Cream: Contour, Light & Texture"
V2.8,156,28,Fantasy & Magic,Mermaid,Friendly Mermaid From Big Shapes,Invent Your Mermaid: Expression & Detail,"Mermaid: Structure, Pose & Overlap","Illustrated Mermaid: Form, Depth & Refined Contour"
V2.8,156,29,Space & Science,Satellite,Simple Satellite From Big Shapes,Imagine a Satellite: Shape & Detail,"Satellite: Structure, Scale & Overlap","Satellite: Perspective, Form & Technical Detail"
V2.8,156,30,Places & Buildings,Lighthouse,Simple Lighthouse: Front View,Design a Lighthouse: Facade & Detail,Lighthouse: Structure & Perspective,"Observational Lighthouse: Depth, Perspective & Light"
V2.9,196,31,Drawing Basics,Symmetry Emblem,Mirror-Shape Badge,Invent a Symmetry Emblem,Measured Symmetry Construction,Refined Symmetry & Negative Space
V2.9,196,32,Animals,Monkey,Monkey From Big Shapes,Expressive Monkey: Pose & Pattern,Monkey In Motion: Proportion & Overlap,"Observational Monkey: Form, Contour & Depth"
V2.9,196,33,Animals,Rabbit,Rabbit From Big Shapes,Expressive Rabbit: Pose & Pattern,Rabbit In Motion: Proportion & Overlap,"Observational Rabbit: Form, Contour & Depth"
V2.9,196,34,Nature,Leaf,Simple Leaf From Big Shapes,Creative Leaf: Shape & Pattern,Leaf Structure: Overlap & Proportion,"Observational Leaf: Form, Texture & Depth"
V2.9,196,35,Vehicles,Bicycle,Friendly Bicycle From Big Shapes,Design Your Bicycle: Shape & Detail,Bicycle Construction: Proportion & Parts,Observational Bicycle: Perspective & Mechanical Form
V2.9,196,36,People & Characters,Hairstyle Portrait,Face & Hair From Simple Shapes,Design a Hairstyle Portrait,Portrait: Head Proportion & Hair Masses,Observational Portrait: Hair Flow & Features
V2.9,196,37,Food & Everyday Things,Cupcake,Cupcake From Big Shapes,Creative Cupcake: Shape & Personality,"Cupcake: Form, Proportion & Overlap","Observational Cupcake: Contour, Light & Texture"
V2.9,196,38,Fantasy & Magic,Wizard,Friendly Wizard From Big Shapes,Invent Your Wizard: Expression & Detail,"Wizard: Structure, Pose & Overlap","Illustrated Wizard: Form, Depth & Refined Contour"
V2.9,196,39,Space & Science,Telescope,Simple Telescope From Big Shapes,Imagine a Telescope: Shape & Detail,"Telescope: Structure, Scale & Overlap","Telescope: Perspective, Form & Technical Detail"
V2.9,196,40,Places & Buildings,City Skyline,Simple City Skyline: Front View,Design a City Skyline: Facade & Detail,City Skyline: Structure & Perspective,"Observational City Skyline: Depth, Perspective & Light"
V3.0,236,41,Drawing Basics,Form & Volume,Turn Shapes Into Forms,Invent a 3D Shape Character,"Cubes, Cylinders & Overlap","Form, Volume & Simple Shading"
V3.0,236,42,Animals,Squirrel,Squirrel From Big Shapes,Expressive Squirrel: Pose & Pattern,Squirrel In Motion: Proportion & Overlap,"Observational Squirrel: Form, Contour & Depth"
V3.0,236,43,Animals,Deer,Deer From Big Shapes,Expressive Deer: Pose & Pattern,Deer In Motion: Proportion & Overlap,"Observational Deer: Form, Contour & Depth"
V3.0,236,44,Nature,Mountain,Simple Mountain From Big Shapes,Creative Mountain: Shape & Pattern,Mountain Structure: Overlap & Proportion,"Observational Mountain: Form, Texture & Depth"
V3.0,236,45,Vehicles,Motorcycle,Friendly Motorcycle From Big Shapes,Design Your Motorcycle: Shape & Detail,Motorcycle Construction: Proportion & Parts,Observational Motorcycle: Perspective & Mechanical Form
V3.0,236,46,People & Characters,Dancer,Dancer: Simple Person Shapes,Dancer: Expression & Pose,Dancer: Figure Proportion & Overlap,Dancer: Observational Figure & Gesture
V3.0,236,47,Food & Everyday Things,Fruit Bowl,Fruit Bowl From Big Shapes,Creative Fruit Bowl: Shape & Personality,"Fruit Bowl: Form, Proportion & Overlap","Observational Fruit Bowl: Contour, Light & Texture"
V3.0,236,48,Fantasy & Magic,Fairy,Friendly Fairy From Big Shapes,Invent Your Fairy: Expression & Detail,"Fairy: Structure, Pose & Overlap","Illustrated Fairy: Form, Depth & Refined Contour"
V3.0,236,49,Space & Science,Comet,Simple Comet From Big Shapes,Imagine a Comet: Shape & Detail,"Comet: Structure, Scale & Overlap","Comet: Perspective, Form & Technical Detail"
V3.0,236,50,Places & Buildings,Bridge,Simple Bridge: Front View,Design a Bridge: Facade & Detail,Bridge: Structure & Perspective,"Observational Bridge: Depth, Perspective & Light"
V3.1,276,51,Drawing Basics,Texture Sampler,Fun Texture Marks,Invent a Texture Patchwork,Controlled Texture Library,"Texture, Edge & Surface Study"
V3.1,276,52,Animals,Horse,Horse From Big Shapes,Expressive Horse: Pose & Pattern,Horse In Motion: Proportion & Overlap,"Observational Horse: Form, Contour & Depth"
V3.1,276,53,Animals,Cow,Cow From Big Shapes,Expressive Cow: Pose & Pattern,Cow In Motion: Proportion & Overlap,"Observational Cow: Form, Contour & Depth"
V3.1,276,54,Nature,Waterfall,Simple Waterfall From Big Shapes,Creative Waterfall: Shape & Pattern,Waterfall Structure: Overlap & Proportion,"Observational Waterfall: Form, Texture & Depth"
V3.1,276,55,Vehicles,Airplane,Friendly Airplane From Big Shapes,Design Your Airplane: Shape & Detail,Airplane Construction: Proportion & Parts,Observational Airplane: Perspective & Mechanical Form
V3.1,276,56,People & Characters,Athlete,Athlete: Simple Person Shapes,Athlete: Expression & Pose,Athlete: Figure Proportion & Overlap,Athlete: Observational Figure & Gesture
V3.1,276,57,Food & Everyday Things,Sandwich,Sandwich From Big Shapes,Creative Sandwich: Shape & Personality,"Sandwich: Form, Proportion & Overlap","Observational Sandwich: Contour, Light & Texture"
V3.1,276,58,Fantasy & Magic,Phoenix,Friendly Phoenix From Big Shapes,Invent Your Phoenix: Expression & Detail,"Phoenix: Structure, Pose & Overlap","Illustrated Phoenix: Form, Depth & Refined Contour"
V3.1,276,59,Space & Science,Space Station,Simple Space Station From Big Shapes,Imagine a Space Station: Shape & Detail,"Space Station: Structure, Scale & Overlap","Space Station: Perspective, Form & Technical Detail"
V3.1,276,60,Places & Buildings,Cafe Storefront,Simple Cafe Storefront: Front View,Design a Cafe Storefront: Facade & Detail,Cafe Storefront: Structure & Perspective,"Observational Cafe Storefront: Depth, Perspective & Light"
V3.2,316,61,Animals,Pig,Pig From Big Shapes,Expressive Pig: Pose & Pattern,Pig In Motion: Proportion & Overlap,"Observational Pig: Form, Contour & Depth"
V3.2,316,62,Animals,Sheep,Sheep From Big Shapes,Expressive Sheep: Pose & Pattern,Sheep In Motion: Proportion & Overlap,"Observational Sheep: Form, Contour & Depth"
V3.2,316,63,Nature,Rain Cloud,Simple Rain Cloud From Big Shapes,Creative Rain Cloud: Shape & Pattern,Rain Cloud Structure: Overlap & Proportion,"Observational Rain Cloud: Form, Texture & Depth"
V3.2,316,64,Vehicles,Helicopter,Friendly Helicopter From Big Shapes,Design Your Helicopter: Shape & Detail,Helicopter Construction: Proportion & Parts,Observational Helicopter: Perspective & Mechanical Form
V3.2,316,65,People & Characters,Musician,Musician: Simple Person Shapes,Musician: Expression & Pose,Musician: Figure Proportion & Overlap,Musician: Observational Figure & Gesture
V3.2,316,66,Food & Everyday Things,Mug,Mug From Big Shapes,Creative Mug: Shape & Personality,"Mug: Form, Proportion & Overlap","Observational Mug: Contour, Light & Texture"
V3.2,316,67,Fantasy & Magic,Friendly Monster,Friendly Monster From Big Shapes,Invent a Monster: Expression & Features,"Monster Design: Structure, Pose & Overlap","Illustrated Monster: Form, Depth & Refined Contour"
V3.2,316,68,Stories & Scenes,Rainy Day Scene,Rainy Day Scene: Simple Story Shapes,Rainy Day Scene: Character & Story Choices,"Rainy Day Scene: Foreground, Middle & Background","Rainy Day Scene: Atmosphere, Perspective & Composition"
V3.2,316,69,Patterns & Decoration,Mandala,Simple Mandala,Remix a Mandala,"Mandala: Repeat, Spacing & Symmetry",Mandala: Complex Rhythm & Design System
V3.2,316,70,Comics & Expression,Comic Reaction Panel,Big-Face Comic Reaction,Comic Reaction: Expression Choices,"Comic Reaction: Staging, Motion & Readability","Comic Reaction: Acting, Framing & Composition"
V3.3,356,71,Animals,Frog,Frog From Big Shapes,Expressive Frog: Pose & Pattern,Frog In Motion: Proportion & Overlap,"Observational Frog: Form, Contour & Depth"
V3.3,356,72,Animals,Crocodile,Crocodile From Big Shapes,Expressive Crocodile: Pose & Pattern,Crocodile In Motion: Proportion & Overlap,"Observational Crocodile: Form, Contour & Depth"
V3.3,356,73,Nature,Seashell,Simple Seashell From Big Shapes,Creative Seashell: Shape & Pattern,Seashell Structure: Overlap & Proportion,"Observational Seashell: Form, Texture & Depth"
V3.3,356,74,Vehicles,Sailboat,Friendly Sailboat From Big Shapes,Design Your Sailboat: Shape & Detail,Sailboat Construction: Proportion & Parts,Observational Sailboat: Perspective & Mechanical Form
V3.3,356,75,People & Characters,Chef,Chef: Simple Person Shapes,Chef: Expression & Pose,Chef: Figure Proportion & Overlap,Chef: Observational Figure & Gesture
V3.3,356,76,Food & Everyday Things,Backpack,Backpack From Big Shapes,Creative Backpack: Shape & Personality,"Backpack: Form, Proportion & Overlap","Observational Backpack: Contour, Light & Texture"
V3.3,356,77,Fantasy & Magic,Magic Potion,Magic Potion Bottle From Big Shapes,Invent a Potion Bottle: Shape & Detail,"Magic Potion: Bottle Form, Overlap & Labels","Illustrated Potion Bottle: Glass, Form & Reflections"
V3.3,356,78,Stories & Scenes,Picnic Scene,Picnic Scene: Simple Story Shapes,Picnic Scene: Character & Story Choices,"Picnic Scene: Foreground, Middle & Background","Picnic Scene: Atmosphere, Perspective & Composition"
V3.3,356,79,Patterns & Decoration,Textile Pattern,Simple Textile Pattern,Remix a Textile Pattern,"Textile Pattern: Repeat, Spacing & Symmetry",Textile Pattern: Complex Rhythm & Design System
V3.3,356,80,Comics & Expression,Action Motion Panel,Simple Action Burst Panel,Action Panel: Pose & Motion Choices,"Action Panel: Staging, Motion & Readability",Action Panel: Dynamic Perspective & Composition
V3.4,396,81,Animals,Dolphin,Dolphin From Big Shapes,Expressive Dolphin: Pose & Pattern,Dolphin In Motion: Proportion & Overlap,"Observational Dolphin: Form, Contour & Depth"
V3.4,396,82,Animals,Whale,Whale From Big Shapes,Expressive Whale: Pose & Pattern,Whale In Motion: Proportion & Overlap,"Observational Whale: Form, Contour & Depth"
V3.4,396,83,Vehicles,Tractor,Friendly Tractor From Big Shapes,Design Your Tractor: Shape & Detail,Tractor Construction: Proportion & Parts,Observational Tractor: Perspective & Mechanical Form
V3.4,396,84,People & Characters,Doctor,Doctor: Simple Person Shapes,Doctor: Expression & Pose,Doctor: Figure Proportion & Overlap,Doctor: Observational Figure & Gesture
V3.4,396,85,Food & Everyday Things,Sneaker,Sneaker From Big Shapes,Creative Sneaker: Shape & Personality,"Sneaker: Form, Proportion & Overlap","Observational Sneaker: Contour, Light & Texture"
V3.4,396,86,Stories & Scenes,Beach Day Scene,Beach Day Scene: Simple Story Shapes,Beach Day Scene: Character & Story Choices,"Beach Day Scene: Foreground, Middle & Background","Beach Day Scene: Atmosphere, Perspective & Composition"
V3.4,396,87,Patterns & Decoration,Decorative Border,Simple Decorative Border,Remix a Decorative Border,"Decorative Border: Repeat, Spacing & Symmetry",Decorative Border: Complex Rhythm & Design System
V3.4,396,88,Comics & Expression,Three-Panel Mini Story,Three-Panel Simple Sequence,Three-Panel Story: Character Choices,"Three-Panel Story: Staging, Continuity & Motion",Three-Panel Story: Sequential Rhythm & Composition
V3.4,396,89,Design & Invent,Gadget Concept,Gadget Concept: Big Shape Idea,Gadget Concept: Make Three Variations,Gadget Concept: Functional Structure & Proportion,Gadget Concept: Perspective Concept Sketch
V3.4,396,90,Culture & Celebrations,Festival Kite,Festival Kite: Simple Shapes,Festival Kite: Decorative Choices,"Festival Kite: Pattern, Spacing & Construction",Festival Kite: Refined Composition & Decorative Detail
V3.5,436,91,Animals,Octopus,Octopus From Big Shapes,Expressive Octopus: Pose & Pattern,Octopus In Motion: Proportion & Overlap,"Observational Octopus: Form, Contour & Depth"
V3.5,436,92,Animals,Penguin,Penguin From Big Shapes,Expressive Penguin: Pose & Pattern,Penguin In Motion: Proportion & Overlap,"Observational Penguin: Form, Contour & Depth"
V3.5,436,93,Vehicles,Fire Truck,Friendly Fire Truck From Big Shapes,Design Your Fire Truck: Shape & Detail,Fire Truck Construction: Proportion & Parts,Observational Fire Truck: Perspective & Mechanical Form
V3.5,436,94,People & Characters,Builder,Builder: Simple Person Shapes,Builder: Expression & Pose,Builder: Figure Proportion & Overlap,Builder: Observational Figure & Gesture
V3.5,436,95,Food & Everyday Things,Teddy Bear,Teddy Bear From Big Shapes,Creative Teddy Bear: Shape & Personality,"Teddy Bear: Form, Proportion & Overlap","Observational Teddy Bear: Contour, Light & Texture"
V3.5,436,96,Stories & Scenes,Night Camp Scene,Night Camp Scene: Simple Story Shapes,Night Camp Scene: Character & Story Choices,"Night Camp Scene: Foreground, Middle & Background","Night Camp Scene: Atmosphere, Perspective & Composition"
V3.5,436,97,Design & Invent,Toy Invention,Toy Invention: Big Shape Idea,Toy Invention: Make Three Variations,Toy Invention: Functional Structure & Proportion,Toy Invention: Perspective Concept Sketch
V3.5,436,98,Design & Invent,Dream Room,Dream Room: Big Shape Idea,Dream Room: Make Three Variations,Dream Room: Functional Structure & Proportion,Dream Room: Perspective Concept Sketch
V3.5,436,99,Culture & Celebrations,Decorative Diya Lamp,Decorative Diya Lamp: Simple Shapes,Decorative Diya Lamp: Decorative Choices,"Decorative Diya Lamp: Pattern, Spacing & Construction",Decorative Diya Lamp: Refined Composition & Decorative Detail
V3.5,436,100,Culture & Celebrations,Rangoli / Kolam Pattern,Rangoli / Kolam Pattern: Simple Shapes,Rangoli / Kolam Pattern: Decorative Choices,"Rangoli / Kolam Pattern: Pattern, Spacing & Construction",Rangoli / Kolam Pattern: Refined Composition & Decorative Detail
